77,ОМВД по районам Силино и Старое Крюково,1525,Нет данных,Не было,8,Нет данных,Нет данных,Нет данных,787
78,Орехово-Борисово Северное,591,172,1,2,222,16,5,598
79,Орехово-Борисово Южное,777,Нет данных,2,5,293,15,2,773
80,Останкинский,1151,281,2,Нет данных,Нет данных,20,Нет данных,1132
81,Отрадное,882,Нет данных,1,Нет данных,Нет данных,19,2,784
82,Очаково-Матвеевское,917,240,Нет данных,9,Нет данных,Нет данных,Нет данных,896
83,Перово,1408,344,Нет данных,6,681,21,1,1225
84,Печатники,914,224,Не было,6,474,8,3,655
85,Покровское-Стрешнево,1034,303,Нет данных,Нет данных,445,24,3,1537
86,Преображенское,1310,342,3,3,638,Нет данных,Нет данных,1063
87,Пресненский,2080,342,2,2,745,27,11,1761
88,Проспект Вернадского,1016,231,Нет данных,Нет данных,437,8,2,1058
89,Раменки,1151,Нет данных,1,1,390,6,2,784
90,Ростокино,1129,Нет данных,Нет данных,Нет данных,554,27,Нет данных,1209
91,Рязанский,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1123
92,Савеловский,Нет данных,169,Нет данных,Нет данных,438,15,Нет данных,1389
93,Свиблово,1075,175,Нет данных,Нет данных,434,Нет данных,Нет данных,1037
94,Северное Бутово,996,Нет данных,1,1,Нет данных,13,3,739
95,Северное Измайлово,1639,474,Нет данных,Нет данных,870,23,10,1402
96,Северное Медведково,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,667
97,Северное Тушино,674,Нет данных,Нет данных,Нет данных,Нет данных,20,2,886
98,Северный,1267,353,Нет данных,5,592,18,3,908
99,Сокол,940,Нет данных,Нет данных,Нет данных,376,Нет данных,Нет данных,1212
100,Соколиная гора,1695,293,Нет данных,11,868,10,4,1270
101,Сокольники,968,276,2,3,428,13,Нет данных,1120
102,Солнцево,826,183,2,Нет данных,329,16,3,788
103,Строгино,730,Нет данных,2,4,179,16,Нет данных,670
104,Таганский,1860,Нет данных,Нет данных,Нет данных,Нет данных,39,14,1226
105,Тверской,3519,633,Нет данных,9,1666,53,13,2022
106,Текстильщики,567,138,Нет данных,Нет данных,233,24,8,1178
107,Теплый Стан,899,229,Не было,3,411,31,1,949
108,Тимирязевский,1076,238,Нет данных,5,579,18,5,1274
109,Тропарево-Никулино,1020,Нет данных,2,3,Нет данных,Нет данных,Не было,568
110,Филевский парк,925,148,Не было,2,536,12,4,1033
111,Фили-Давыдково,760,Нет данных,3,5,369,Нет данных,3,1196
112,Хамовники,1748,252,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1526
113,Ховрино,1070,222,Не было,2,340,11,2,978
114,Хорошево-Мневники,809,Нет данных,1,5,179,5,Нет данных,1086
115,Хорошевский,1736,132,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1124
116,Царицыно,724,174,3,5,325,12,2,1027
117,Черемушки,903,145,Не было,Нет данных,Нет данных,14,Нет данных,1063
118,Чертаново Северное,714,137,Нет данных,Нет данных,280,14,4,611
119,Чертаново Центральное,875,151,Нет данных,Нет данных,494,10,Нет данных,725
120,Чертаново Южное,914,198,1,6,Нет данных,17,1,740
121,Щукино,1696,Нет данных,3,7,397,7,6,1327
122,Южное Бутово,768,148,1,7,371,11,2,956
123,Южное Медведково,745,168,1,3,264,5,Нет данных,709
124,Южное Тушино,979,219,Нет данных,5,459,17,2,1098
125,Южнопортовый,1585,Нет данных,Нет данных,8,Нет данных,15,Нет данных,859
126,Якиманка,3810,515,Нет данных,Нет данных,Нет данных,Нет данных,Нет данных,1405
127,Ярославский,1225,290,3,4,407,10,4,866
128,Ясенево,798,Нет данных,1,Нет данных,Нет данных,21,Нет данных,733
