mart_1.id,mart_1.price,mart_1.district,mart_1.rooms,mart_1.total_area,mart_1.current_floor,mart_1.max_floor,mart_1.build_year,mart_1.bath,mart_1.repair,mart_1.window_type,mart_1.places_total
7957,11800000,Московский,2.0,57.0,8,12,1994.0,1 раздельный,Косметический,На улицу и двор,0
7958,11800000,Нагатино-Садовники,2.0,44.0,5,9,1970.0,1 раздельный,Косметический,Во двор,1
7975,11800000,Южное Бутово,2.0,,6,12,2001.0,,Косметический,,0
7993,11900000,Десеновское поселение,2.0,52.0,7,18,2022.0,1 раздельный,Без ремонта,На улицу и двор,0
7996,11900000,Десеновское поселение,2.0,,2,3,2015.0,1 раздельный,Косметический,,0
8008,11950000,Южное Бутово,2.0,54.0,8,17,2003.0,1 раздельный,Косметический,Во двор,0
8015,11900000,Войковский,2.0,41.0,8,14,1975.0,1 совмещенный,Косметический,Во двор,1
8027,11900000,Теплый Стан,2.0,,2,12,1975.0,1 раздельный,Косметический,Во двор,0
8028,11900000,Южное Медведково,2.0,45.0,2,8,1965.0,1 совмещенный,Евроремонт,Во двор,0
8051,11900000,Южное Бутово,2.0,50.0,7,17,2002.0,,Косметический,,0
8053,11950000,Беговой,2.0,,5,9,1966.0,1 раздельный,,Во двор,1
8055,11990000,Войковский,2.0,47.0,6,14,1972.0,1 раздельный,Косметический,Во двор,0
8067,11900000,Нижегородский,2.0,,15,26,,1 совмещенный,Без ремонта,На улицу,0
8068,11990000,Северное Измайлово,2.0,50.0,1,14,1970.0,1 совмещенный,Дизайнерский,Во двор,1
8075,11900000,Богородское,2.0,43.0,1,5,1961.0,1 совмещенный,Косметический,Во двор,0
8086,11950000,Ярославский,2.0,56.0,4,16,1976.0,1 совмещенный,Косметический,Во двор,0
8089,12000000,Бирюлево Восточное,2.0,45.0,6,9,1972.0,,Косметический,Во двор,0
8103,12000000,Можайский,2.0,,2,9,1968.0,1 совмещенный,Евроремонт,,0
8105,12000000,Митино,2.0,,7,9,1998.0,1 раздельный,Косметический,На улицу,0
8117,12000000,Зябликово,2.0,,2,14,1986.0,1 раздельный,Евроремонт,На улицу и двор,0
8130,12000000,Митино,2.0,51.0,4,17,1997.0,1 раздельный,Без ремонта,Во двор,0
8133,12000000,Войковский,2.0,,6,8,1960.0,1 совмещенный,Евроремонт,Во двор,0
8136,12000000,Митино,2.0,58.0,1,17,1997.0,1 раздельный,Косметический,Во двор,0
8161,12000000,Царицыно,2.0,,16,16,1978.0,1 раздельный,,,0
8166,12000000,Москворечье-Сабурово,2.0,52.0,1,14,1988.0,1 раздельный,Евроремонт,Во двор,0
8171,12000000,Воскресенское поселение,2.0,,3,17,2014.0,1 раздельный,Косметический,На улицу и двор,0
8174,12000000,Крюково,2.0,55.0,9,9,2014.0,1 раздельный,Косметический,На улицу и двор,0
8188,11000000,Некрасовка,2.0,,3,17,2013.0,1 совмещенный,Евроремонт,,0
8192,11183000,Старое Крюково,2.0,,8,13,,1 раздельный,Косметический,Во двор,0
8195,11100000,Лефортово,2.0,38.0,3,9,1965.0,,Косметический,Во двор,0
8205,11200000,Чертаново Северное,2.0,45.0,5,9,1969.0,1 совмещенный,Косметический,Во двор,0
8219,11100000,Некрасовка,2.0,,15,17,2007.0,1 раздельный,Евроремонт,На улицу и двор,0
8231,11200000,Новогиреево,2.0,,1,5,1965.0,1 раздельный,Без ремонта,Во двор,0
8251,11300000,Преображенское,2.0,45.0,3,5,1969.0,1 совмещенный,Косметический,Во двор,0
8252,11200000,Крюково,2.0,,3,14,1989.0,1 раздельный,Дизайнерский,Во двор,0
8258,11300000,Останкинский,2.0,44.0,1,9,1967.0,1 раздельный,Евроремонт,Во двор,0
8267,11300000,Войковский,2.0,,2,5,1964.0,1 совмещенный,Косметический,Во двор,0
8285,11320000,Марьино,2.0,,5,16,1999.0,1 раздельный,Косметический,Во двор,2
8289,11400000,Алтуфьевский,2.0,,5,12,1979.0,1 раздельный,Косметический,На улицу,0
8290,11340000,Сосенское поселение,2.0,,10,17,2021.0,1 совмещенный, 1 раздельный,Без ремонта,0
8301,11300000,Царицыно,2.0,,11,12,1968.0,1 раздельный,Без ремонта,Во двор,0
8342,11500000,Преображенское,2.0,43.0,1,5,1961.0,1 совмещенный,Косметический,Во двор,0
8359,11500000,Некрасовка,2.0,48.0,4,23,,1 раздельный,Евроремонт,На улицу,0
8362,11500000,Южное Бутово,2.0,58.0,13,15,2009.0,1 раздельный,Без ремонта,,0
8385,11500000,Крюково,2.0,,14,14,1994.0,1 раздельный,Косметический,На улицу и двор,0
8414,11500000,Бирюлево Восточное,2.0,,2,18,2021.0,1 раздельный,Без ремонта,Во двор,1
8452,12600000,Орехово-Борисово Южное,2.0,,9,17,1987.0,1 раздельный,Евроремонт,На улицу,0
8453,12300000,Некрасовка,2.0,61.0,2,17,2019.0,1 совмещенный, 1 раздельный,Евроремонт,0
8491,12990000,Внуковское поселение,2.0,,4,19,2022.0,1 совмещенный,Без ремонта,,0
8505,13000000,Северное Измайлово,2.0,42.0,2,5,1961.0,1 совмещенный,Евроремонт,Во двор,0
8535,13000000,Солнцево,2.0,,8,17,1987.0,1 раздельный,Евроремонт,,0
8538,12900000,Люблино,2.0,63.0,1,13,2019.0,1 совмещенный,Евроремонт,Во двор,0
8542,12400000,Фили-Давыдково,2.0,,2,13,1971.0,1 раздельный,Без ремонта,Во двор,1
8545,13000000,Мещанский,2.0,,2,5,1963.0,1 совмещенный,Без ремонта,На улицу,2
8553,12990000,Москворечье-Сабурово,2.0,51.0,17,17,1988.0,1 раздельный,Евроремонт,Во двор,0
8559,12990000,Фили-Давыдково,2.0,,12,14,1973.0,1 раздельный,Косметический,Во двор,0
8570,13000000,Орехово-Борисово Южное,2.0,52.0,2,12,1978.0,1 раздельный,Косметический,На улицу и двор,0
8577,12850000,Коммунарка поселок,2.0,,6,10,2019.0,1 совмещенный, 1 раздельный,Евроремонт,0
8585,12500000,Тимирязевский,2.0,,2,9,1971.0,1 совмещенный,Косметический,Во двор,0
8587,12500000,Царицыно,2.0,,9,12,1969.0,1 раздельный,Евроремонт,Во двор,1
8595,12200000,Зябликово,2.0,,14,17,1986.0,1 раздельный,Косметический,На улицу,0
8604,12500000,Внуковское поселение,2.0,40.0,2,14,2017.0,1 совмещенный,Косметический,На улицу и двор,0
8613,12300000,Зябликово,2.0,,3,16,1982.0,1 раздельный,Без ремонта,Во двор,0
8618,12300000,Коммунарка поселок,2.0,,12,25,2021.0,2 совмещенных,Без ремонта,Во двор,0
8619,12800000,Зюзино,2.0,,10,12,1971.0,1 раздельный,Без ремонта,На улицу,0
8632,12400000,Алексеевский,2.0,,9,9,1962.0,1 совмещенный,Без ремонта,На улицу,1
8638,12300000,Некрасовка,2.0,65.0,5,19,2016.0,1 раздельный,Евроремонт,На улицу и двор,0
8641,12300000,Восточное Дегунино,2.0,51.0,14,17,1991.0,1 раздельный,Евроремонт,На улицу,0
8652,12100000,Савеловский,2.0,,2,9,1962.0,1 совмещенный,Косметический,На улицу,1
8654,12600000,Перово,2.0,52.0,11,12,1987.0,1 раздельный,Косметический,На улицу,1
8671,12200000,Академический,2.0,,5,5,1961.0,1 совмещенный,Косметический,,0
8678,12500000,Люблино,2.0,56.0,5,5,1952.0,,Косметический,На улицу и двор,0
8694,12200000,Сосенское поселение,2.0,,13,17,2021.0,1 совмещенный, 1 раздельный,Евроремонт,1
8700,12100000,Москворечье-Сабурово,2.0,52.0,11,17,1988.0,1 раздельный,Косметический,На улицу,0
8718,12300000,Печатники,2.0,46.0,1,9,1969.0,1 раздельный,Дизайнерский,,0
8724,12050000,Сосенское поселение,2.0,,15,15,2022.0,1 раздельный,Без ремонта,На улицу,1
8733,12400000,Южное Бутово,2.0,53.0,2,15,2009.0,1 раздельный,Косметический,,0
8738,12400000,Фили-Давыдково,2.0,,2,5,1960.0,1 совмещенный,Косметический,Во двор,0
8744,12450000,Черемушки,2.0,37.0,6,9,1963.0,1 совмещенный,Евроремонт,Во двор,0
8747,12600000,Отрадное,2.0,48.0,10,12,1978.0,1 раздельный,Евроремонт,На улицу,1
8752,12000000,Марьино,2.0,,7,12,2001.0,1 раздельный,Косметический,На улицу,0
8756,12300000,Люблино,2.0,,1,17,1999.0,1 раздельный,Косметический,На улицу,0
8759,12490000,Филевский парк,2.0,,1,5,1960.0,1 совмещенный,Евроремонт,Во двор,1
8764,12500000,Митино,2.0,53.0,22,25,2019.0,2 раздельных,,,0
8771,12500000,Некрасовка,2.0,,13,17,2020.0,1 совмещенный,,На улицу и двор,0
8799,12250000,Бирюлево Восточное,2.0,46.0,9,12,1972.0,1 совмещенный,Евроремонт,,0
8807,12200000,Некрасовка,2.0,60.0,12,17,2019.0,2 совмещенных,,Во двор,0
8817,12550000,Рязанский,2.0,,1,16,1978.0,,Косметический,На улицу и двор,0
8821,12300000,Зюзино,2.0,,4,5,1965.0,1 раздельный,,Во двор,0
8823,12199000,Северное Бутово,2.0,51.0,10,17,1992.0,1 раздельный,Косметический,На улицу,0
8838,12500000,Некрасовка,2.0,65.0,25,25,2016.0,1 раздельный,Евроремонт,На улицу и двор,0
8878,12300000,Южное Бутово,2.0,54.0,7,10,1995.0,1 раздельный,Косметический,Во двор,0
8887,12200000,Ярославский,2.0,52.0,2,12,1980.0,1 раздельный,Косметический,,0
8894,12200000,Некрасовка,2.0,,10,17,2011.0,1 раздельный,Косметический,На улицу,0
8921,12500000,Внуковское поселение,2.0,40.0,2,16,2017.0,1 совмещенный,Дизайнерский,На улицу и двор,0
8931,12500000,Тропарево-Никулино,2.0,54.0,1,17,1993.0,1 раздельный,Косметический,На улицу,0
8933,12500000,Войковский,2.0,,1,5,1963.0,1 совмещенный,Евроремонт,,0
8934,12600000,Южное Бутово,2.0,56.0,5,14,2008.0,1 раздельный,Дизайнерский,Во двор,0
8936,12500000,Нагатино-Садовники,2.0,40.0,11,14,1974.0,1 совмещенный,Евроремонт,На улицу и двор,0
8940,12600000,Северное Бутово,2.0,,2,17,1994.0,1 раздельный,Косметический,Во двор,0
8946,12500000,Ивановское,2.0,,9,12,1975.0,1 совмещенный,,На улицу и двор,0
8951,12500000,Хорошево-Мневники,2.0,,2,5,1962.0,1 совмещенный,,Во двор,0
8954,12500000,Первомайское поселение,2.0,74.0,4,4,2015.0,1 раздельный,Дизайнерский,,1
8964,12500000,Хорошево-Мневники,2.0,45.0,1,5,1959.0,1 совмещенный,Косметический,Во двор,0
8970,12600000,Теплый Стан,2.0,,8,9,1972.0,1 раздельный,Косметический,Во двор,0
8972,12500000,Очаково-Матвеевское,2.0,45.0,1,14,1977.0,1 раздельный,Косметический,Во двор,0
8976,12700000,Отрадное,2.0,,7,12,1980.0,1 раздельный,Косметический,Во двор,0
8983,12600000,Тимирязевский,2.0,42.0,2,8,1963.0,1 совмещенный,Косметический,На улицу и двор,0
8991,12670000,Коньково,2.0,,3,5,1967.0,1 совмещенный,Евроремонт,Во двор,1
8996,12700000,Гольяново,2.0,,7,9,1970.0,1 совмещенный,Косметический,На улицу и двор,0
9013,12690000,Коньково,2.0,45.0,3,5,1967.0,1 совмещенный,Евроремонт,На улицу,1
9025,12700000,Войковский,2.0,42.0,5,5,1965.0,1 совмещенный,Косметический,Во двор,0
9030,12800000,Южное Бутово,2.0,,4,10,2001.0,1 раздельный,Евроремонт,Во двор,0
9039,12650000,Савёлки,2.0,,2,14,2003.0,1 раздельный,Евроремонт,Во двор,0
9044,12700000,Южное Бутово,2.0,,12,17,2002.0,1 совмещенный,Евроремонт,,0
9052,12700000,Раменки,2.0,45.0,1,9,1970.0,1 раздельный,Косметический,,0
9059,12800000,Северное Тушино,2.0,45.0,3,5,1965.0,1 раздельный,Без ремонта,Во двор,0
9065,12800000,Даниловский,2.0,45.0,3,5,1960.0,1 совмещенный,Дизайнерский,Во двор,0
9070,12850000,Западное Дегунино,2.0,,2,33,,2 раздельных,Косметический,,0
9099,12800000,Лосиноостровский,2.0,,15,16,1976.0,1 раздельный,Косметический,Во двор,0
9108,12900000,Некрасовка,2.0,60.0,24,25,2017.0,1 раздельный,Дизайнерский,На улицу и двор,0
9121,12950000,Сосенское поселение,2.0,,3,14,2022.0,1 совмещенный,Косметический,На улицу,0
9130,12900000,Некрасовка,2.0,,17,25,2015.0,1 раздельный,Евроремонт,На улицу и двор,0
9141,12900000,Троицк,2.0,,10,17,2002.0,1 совмещенный,Евроремонт,На улицу,2
9145,12990000,Орехово-Борисово Южное,2.0,36.0,7,22,2018.0,1 совмещенный,Евроремонт,Во двор,0
9152,12900000,Орехово-Борисово Южное,2.0,58.0,10,24,,1 раздельный,Косметический,На улицу и двор,0
9168,12999000,Некрасовка,2.0,64.0,7,19,2016.0,1 раздельный,Евроремонт,На улицу,0
9178,12950000,Внуковское поселение,2.0,58.0,24,25,2013.0,1 раздельный,Косметический,Во двор,2
9183,13000000,Дмитровский,2.0,,2,12,2000.0,1 совмещенный,Косметический,Во двор,0
9184,12990000,Сосенское поселение,2.0,,9,12,2021.0,1 совмещенный,Без ремонта,На улицу и двор,0
9203,12900000,Бибирево,2.0,,10,16,1977.0,1 раздельный,Косметический,Во двор,0
9211,13000000,Южное Бутово,2.0,62.0,14,14,2008.0,1 раздельный,Косметический,На улицу и двор,0
9216,13000000,Соколиная гора,2.0,,1,5,1957.0,1 раздельный,Без ремонта,На улицу и двор,0
9223,13000000,Московский поселение,2.0,,13,25,2018.0,,Евроремонт,Во двор,5
9224,13000000,Таганский,2.0,,4,9,1971.0,1 раздельный,Косметический,Во двор,0
9239,13000000,Солнцево,2.0,45.0,11,12,1974.0,1 совмещенный,Евроремонт,Во двор,0
9270,13000000,Южное Тушино,2.0,,18,22,1991.0,1 раздельный,,Во двор,0
9277,13000000,Внуковское поселение,2.0,58.0,12,18,2017.0,1 раздельный,Евроремонт,На улицу и двор,0
9282,13000000,Алексеевский,2.0,38.0,7,9,1965.0,1 совмещенный,Евроремонт,Во двор,0
9283,13000000,Академический,2.0,,2,5,1960.0,1 раздельный,,Во двор,0
9287,12000000,Западное Дегунино,2.0,40.0,6,12,1967.0,1 раздельный,Евроремонт,,0
9297,13000000,Восточное Измайлово,2.0,,1,17,1984.0,1 раздельный,Косметический,Во двор,1
9312,13000000,Богородское,2.0,57.0,5,5,1966.0,1 совмещенный,Косметический,Во двор,0
9333,12000000,Головинский,2.0,,11,12,1974.0,1 раздельный,Евроремонт,,0
9334,12000000,Братеево,2.0,,7,17,1985.0,1 раздельный,Косметический,На улицу,0
9336,12000000,Нагатинский затон,2.0,,9,12,1968.0,1 совмещенный,Косметический,На улицу и двор,0
9353,12000000,Южное Бутово,2.0,51.0,13,15,2006.0,1 раздельный,Косметический,На улицу и двор,0
9356,12000000,Северное Измайлово,2.0,,8,12,1966.0,1 раздельный,Косметический,На улицу,0
9367,12000000,Выхино-Жулебино,2.0,,4,5,1966.0,1 раздельный,Косметический,На улицу,0
9369,12000000,Марфино,2.0,39.0,5,9,1963.0,1 совмещенный,Косметический,Во двор,0
9374,12100000,Крюково,2.0,,13,17,1996.0,1 совмещенный,Косметический,Во двор,0
9396,12000000,Ясенево,2.0,45.0,2,9,1977.0,1 совмещенный,Косметический,,0
9405,12000000,Алексеевский,2.0,,3,5,1962.0,1 совмещенный,Евроремонт,Во двор,1
9416,12000000,Бабушкинский,2.0,,5,12,1978.0,1 раздельный,Без ремонта,На улицу,0
9450,12200000,Первомайское поселение,2.0,,4,4,2015.0,1 раздельный,Косметический,На улицу и двор,0
9485,12300000,Сосенское поселение,2.0,,3,16,2022.0,1 совмещенный,Без ремонта,На улицу,19
9493,12270000,Коммунарка поселок,2.0,46.0,3,23,2021.0,1 раздельный,Евроремонт,,0
9497,12300000,Сосенское поселение,2.0,,3,16,2022.0,1 совмещенный,Без ремонта,На улицу,19
9498,12300000,Покровское-Стрешнево,2.0,43.0,5,9,1967.0,1 раздельный,Косметический,Во двор,0
9502,12499000,Южное Тушино,2.0,,6,9,1972.0,1 раздельный,Косметический,,0
9527,12400000,Ярославский,2.0,44.0,7,17,2022.0,1 совмещенный,Без ремонта,Во двор,0
9531,12400000,Нижегородский,2.0,,2,5,1959.0,1 совмещенный,Косметический,Во двор,0
9532,12400000,Свиблово,2.0,45.0,5,9,1970.0,1 раздельный,Косметический,,2
9535,12400000,Воскресенское поселение,2.0,56.0,2,16,2014.0,1 раздельный,Косметический,На улицу и двор,0
9547,12400000,Южное Бутово,2.0,,2,17,2002.0,,Косметический,,0
9548,12490000,Чертаново Южное,2.0,,5,9,1972.0,1 раздельный,Дизайнерский,,0
9549,12450000,Марфино,2.0,55.0,1,5,1959.0,1 раздельный,Без ремонта,На улицу и двор,0
9554,12500000,Митино,2.0,58.0,11,24,,1 раздельный,Без ремонта,,0
9564,12500000,Рязановское поселение,2.0,55.0,10,14,2022.0,1 раздельный,Косметический,На улицу и двор,0
9566,12500000,Тимирязевский,2.0,,9,9,1967.0,1 совмещенный,Косметический,Во двор,2
9578,12400000,Московский,2.0,59.0,12,19,2015.0,1 раздельный,Косметический,Во двор,1
9579,12500000,Ростокино,2.0,,6,9,1968.0,1 совмещенный,Косметический,Во двор,0
9598,12500000,Сосенское поселение,2.0,,9,12,2021.0,1 совмещенный,Косметический,Во двор,0
9600,12500000,Северное Медведково,2.0,45.0,7,9,1969.0,1 совмещенный,Евроремонт,На улицу и двор,0
9605,12500000,Щукино,2.0,41.0,2,5,1960.0,1 совмещенный,Без ремонта,На улицу,0
9606,13490000,Митино,2.0,60.0,10,11,2019.0,1 совмещенный, 1 раздельный,Евроремонт,0
9611,13400000,Московский поселение,2.0,51.0,8,22,2021.0,1 совмещенный,Дизайнерский,,0
9615,13500000,Черемушки,2.0,45.0,4,9,1976.0,1 раздельный,Евроремонт,,0
9626,13790000,Савеловский,2.0,,3,9,1962.0,1 совмещенный,Дизайнерский,,1
9634,13700000,Мещанский,2.0,45.0,8,9,1967.0,1 совмещенный,Евроремонт,На улицу и двор,0
9661,13050000,Марьино,2.0,,10,31,2021.0,1 совмещенный,Без ремонта,На улицу,1
9700,14000000,Отрадное,2.0,53.0,13,14,1994.0,1 раздельный,Косметический,На улицу,0
9725,14000000,Митино,2.0,,7,17,1992.0,1 раздельный,Косметический,Во двор,0
9734,13700000,Солнцево,2.0,,18,21,2008.0,1 раздельный,Косметический,Во двор,0
9736,13250000,Коптево,2.0,48.0,2,12,1968.0,1 раздельный,Косметический,На улицу,0
9741,13990000,Марьино,2.0,,8,17,1991.0,1 раздельный,Косметический,,1
9750,14000000,Нагатинский затон,2.0,54.0,1,23,1984.0,1 раздельный,Евроремонт,Во двор,0
9752,13200000,Аэропорт,2.0,44.0,5,5,1961.0,1 раздельный,Косметический,На улицу и двор,0
9761,13970000,Можайский,2.0,,9,16,1986.0,1 раздельный,Косметический,Во двор,0
9769,13500000,Южнопортовый,2.0,,3,5,1964.0,1 раздельный,Косметический,,0
9792,14000000,Академический,2.0,,4,8,1958.0,1 совмещенный,Евроремонт,,1
9803,14000000,Люблино,2.0,,10,14,2002.0,1 раздельный,,На улицу,0
9819,13150000,Коммунарка поселок,2.0,,12,17,2013.0,,Косметический,На улицу и двор,0
9835,13250000,Некрасовка,2.0,,15,17,2020.0,1 раздельный,Дизайнерский,На улицу и двор,0
9837,13599000,Преображенское,2.0,,8,9,1965.0,1 раздельный,Косметический,,1
9842,13500000,Солнцево,2.0,49.0,11,12,1978.0,1 совмещенный,Евроремонт,Во двор,0
9844,13000000,Дмитровский,2.0,,2,12,2000.0,1 совмещенный,Косметический,Во двор,0
9846,13200000,Марьино,2.0,,17,18,1997.0,1 раздельный,Косметический,,0
9848,13500000,Бабушкинский,2.0,52.0,7,12,1981.0,1 совмещенный,Евроремонт,,0
9858,13500000,Бабушкинский,2.0,52.0,7,12,1981.0,1 совмещенный,Косметический,На улицу и двор,0
9870,13500000,Академический,2.0,37.0,7,9,1965.0,1 совмещенный,Дизайнерский,Во двор,0
9883,13500000,Останкинский,2.0,45.0,9,9,1966.0,1 раздельный,,Во двор,4
9892,13100000,Филевский парк,2.0,,13,14,1973.0,,Косметический,,2
9898,13100000,Черемушки,2.0,,5,5,1963.0,1 совмещенный,Косметический,Во двор,0
9906,13500000,Сокол,2.0,,3,5,1960.0,1 совмещенный,Евроремонт,Во двор,0
9915,13200000,Алтуфьевский,2.0,54.0,3,17,1984.0,1 раздельный,Косметический,Во двор,0
9922,13500000,Лианозово,2.0,,16,16,1976.0,1 раздельный,Евроремонт,,0
9928,13500000,Московский поселение,2.0,50.0,3,9,,1 совмещенный,Без ремонта,,0
9941,13250000,Нагорный,2.0,55.0,3,5,1957.0,1 раздельный,Без ремонта,На улицу и двор,0
9945,13200000,Ховрино,2.0,54.0,4,17,1999.0,1 совмещенный,Евроремонт,Во двор,0
9949,13000000,Сосенское поселение,2.0,39.0,16,18,,1 совмещенный,Без ремонта,Во двор,0
9959,13500000,Московский,2.0,,17,17,2008.0,,,,0
9963,13200000,Соколиная гора,2.0,57.0,4,9,1981.0,1 раздельный,Косметический,Во двор,0
9965,13600000,Гольяново,2.0,51.0,4,5,1966.0,1 совмещенный,Евроремонт,,0
9970,13500000,Сокол,2.0,41.0,5,5,1960.0,1 совмещенный,Косметический,,0
9990,13600000,Московский поселение,2.0,,22,25,2020.0,1 совмещенный,Дизайнерский,На улицу,2
9991,13600000,Крюково,2.0,,19,21,2013.0,1 совмещенный,Дизайнерский,На улицу и двор,0
9993,13500000,Хорошево-Мневники,2.0,,9,9,1972.0,1 раздельный,,Во двор,1
9999,13250000,Московский,2.0,,20,25,2021.0,2 совмещенных,Без ремонта,На улицу и двор,0
10000,13500000,Южное Тушино,2.0,44.0,3,5,1969.0,1 совмещенный,Косметический,На улицу,0
10006,13350000,Ясенево,2.0,,4,16,1980.0,1 раздельный,,,0
10011,13450000,Бирюлево Восточное,2.0,,15,17,2021.0,1 раздельный,Без ремонта,Во двор,1
10044,13500000,Московский поселение,2.0,61.0,12,15,2021.0,1 совмещенный,Без ремонта,Во двор,5
10059,13200000,Новокосино,2.0,,11,14,1996.0,1 раздельный,Евроремонт,Во двор,0
10077,13300000,Филевский парк,2.0,,4,5,1964.0,1 совмещенный,Евроремонт,Во двор,0
10090,13350000,Строгино,2.0,52.0,12,12,1980.0,1 раздельный,Косметический,На улицу и двор,0
10096,13200000,Чертаново Северное,2.0,,1,17,1987.0,1 совмещенный,Косметический,,0
10097,13500000,Восточное Дегунино,2.0,47.0,5,32,2006.0,1 совмещенный,Евроремонт,Во двор,0
10106,13500000,Кунцево,2.0,,2,12,1978.0,1 раздельный,Без ремонта,Во двор,0
10123,13270000,Люблино,2.0,,8,17,2003.0,,Косметический,,0
10130,13600000,Некрасовка,2.0,62.0,6,17,2011.0,1 раздельный,,На улицу и двор,0
10133,13500000,Западное Дегунино,2.0,,5,33,,1 раздельный,Косметический,На улицу,0
10134,13500000,Марушкинское поселение,2.0,,4,7,2018.0,1 совмещенный, 1 раздельный,Косметический,0
10139,13100000,Северное Медведково,2.0,50.0,3,16,1983.0,1 раздельный,Косметический,Во двор,0
10144,13000000,Бирюлево Восточное,2.0,59.0,4,18,2021.0,1 раздельный,Без ремонта,На улицу и двор,1
10145,13400000,Можайский,2.0,,5,5,1954.0,1 раздельный,Косметический,,0
10147,13400000,Басманный,2.0,,2,12,1980.0,,Косметический,,0
10151,13750000,Рязановское поселение,2.0,,2,11,2020.0,1 раздельный,Евроремонт,Во двор,0
10157,13700000,Коммунарка поселок,2.0,,18,25,2016.0,1 совмещенный,Без ремонта,На улицу и двор,0
10192,13750000,Марьино,2.0,,4,18,1998.0,1 раздельный,,Во двор,0
10194,13700000,Марьино,2.0,51.0,5,17,1999.0,1 раздельный,Евроремонт,Во двор,0
10216,13800000,Очаково-Матвеевское,2.0,65.0,3,5,1954.0,,Без ремонта,На улицу и двор,0
10220,13800000,Новокосино,2.0,51.0,9,14,1995.0,1 раздельный,Евроремонт,Во двор,0
10241,13900000,Даниловский,2.0,,5,9,1966.0,1 совмещенный,Евроремонт,,0
10246,13800000,Ново-Переделкино,2.0,53.0,9,14,1990.0,1 раздельный,Косметический,,0
10247,13900000,Некрасовка,2.0,,5,16,2021.0,,,,0
10251,13800000,Царицыно,2.0,,12,14,1989.0,1 раздельный,Косметический,Во двор,0
10252,13850000,Нагатино-Садовники,2.0,,5,17,1994.0,1 раздельный,Косметический,Во двор,0
10267,13800000,Северное Бутово,2.0,,20,22,1990.0,1 раздельный,,На улицу и двор,0
10282,14000000,Рязановское поселение,2.0,,13,17,2008.0,1 раздельный,Евроремонт,,0
10292,13800000,Ясенево,2.0,,3,9,1978.0,1 совмещенный,Евроремонт,,0
10293,13900000,Кунцево,2.0,52.0,8,14,1987.0,1 совмещенный,Евроремонт,Во двор,0
10304,13800000,Митино,2.0,,5,17,1993.0,1 раздельный,Евроремонт,На улицу,0
10314,13990000,Нижегородский,2.0,,21,29,,1 совмещенный,Косметический,На улицу,0
10317,14000000,Соколиная гора,2.0,,5,5,1961.0,1 раздельный,Косметический,Во двор,0
10328,14000000,Сосенское поселение,2.0,61.0,6,13,2023.0,2 совмещенных,Без ремонта,,0
10333,14000000,Коньково,2.0,45.0,9,9,1969.0,1 раздельный,Косметический,,0
10336,14000000,Филевский парк,2.0,,1,5,1958.0,1 раздельный,Косметический,Во двор,0
10338,14000000,Солнцево,2.0,59.0,19,22,2004.0,1 раздельный,Косметический,Во двор,0
10339,14000000,Бирюлево Восточное,2.0,56.0,24,24,2011.0,2 раздельных,Косметический,Во двор,0
10356,13990000,Западное Дегунино,2.0,53.0,15,17,2000.0,1 раздельный,Евроремонт,Во двор,0
10361,13950000,Останкинский,2.0,47.0,3,12,1972.0,1 раздельный,Евроремонт,Во двор,2
10367,14000000,Черемушки,2.0,46.0,5,5,1961.0,1 раздельный,,Во двор,0
10369,14000000,Строгино,2.0,,2,12,1980.0,1 совмещенный,Косметический,Во двор,0
10370,13950000,Восточное Дегунино,2.0,58.0,10,17,1992.0,1 раздельный,Евроремонт,На улицу и двор,0
10379,14000000,Нагатинский затон,2.0,,4,14,2003.0,1 раздельный,Косметический,Во двор,0
10383,14000000,Первомайское поселение,2.0,80.0,4,11,2018.0,1 совмещенный, 1 раздельный,Евроремонт,0
10391,13955777,Тимирязевский,2.0,39.0,1,12,1966.0,1 совмещенный,Дизайнерский,Во двор,0
10399,14000000,Измайлово,2.0,,2,17,1989.0,1 раздельный,Без ремонта,Во двор,1
10400,14000000,Люблино,2.0,54.0,11,14,1985.0,1 совмещенный,Евроремонт,На улицу и двор,0
10401,14000000,Московский,2.0,91.0,15,25,2008.0,1 раздельный,,Во двор,5
10410,13000000,Коптево,2.0,43.0,3,5,1959.0,1 раздельный,Дизайнерский,,0
10416,13000000,Сосенское поселение,2.0,,9,16,2018.0,1 раздельный,Евроремонт,,3
10417,14000000,Ясенево,2.0,,15,16,1981.0,1 раздельный,Косметический,Во двор,0
10440,13000000,Первомайское поселение,2.0,75.0,5,9,2018.0,2 совмещенных,Евроремонт,На улицу и двор,0
10442,13000000,Северное Бутово,2.0,56.0,2,16,2001.0,1 раздельный,Косметический,Во двор,0
10454,13000000,Хорошево-Мневники,2.0,39.0,5,9,1961.0,1 раздельный,Евроремонт,,1
10459,13000000,Новокосино,2.0,,6,7,1996.0,1 совмещенный,Косметический,На улицу и двор,1
10479,13100000,Головинский,2.0,56.0,3,22,2000.0,1 раздельный,Косметический,На улицу и двор,0
10493,13200000,Московский поселение,2.0,,16,20,2021.0,1 совмещенный,Без ремонта,На улицу и двор,5
10509,13200000,Сосенское поселение,2.0,40.0,3,16,2022.0,1 раздельный,Евроремонт,,10
10535,13200000,Новогиреево,2.0,45.0,6,9,1969.0,1 раздельный,Евроремонт,На улицу,0
10538,13200000,Орехово-Борисово Южное,2.0,,10,16,1975.0,1 раздельный,Косметический,,0
