id,address,places
23472,Москва ЦАО р-н Пресненский Звенигородское ш. 11,1
76,Москва ЗАО р-н Очаково-Матвеевское Аминьевское ш. 5,0
26985,Москва САО р-н Савеловский 1-я Квесисская ул. 9,0
22240,Москва ЗАО р-н Дорогомилово пл. Победы 2К2,1
2452,Москва ЮВАО р-н Лефортово Таможенный проезд 12,15
24342,Москва ЗАО р-н Тропарево-Никулино Никулинская ул. 9,0
7867,Москва ТАО (Троицкий) Троицк ул. Заречная 21,0
19497,Москва САО р-н Ховрино Фестивальная ул. 28,0
13937,Москва ЮАО р-н Даниловский просп. Лихачева 12к1,2
1095,Москва ЮВАО р-н Люблино ул. Верхние Поля 27С2,0
26179,Москва ЦАО р-н Мещанский просп. Мира 79,2
10885,Москва ЮАО р-н Москворечье-Сабурово Каширский проезд 25к1,0
18588,Москва СВАО р-н Южное Медведково проезд Шокальского 12,0
17439,Москва СВАО р-н Бабушкинский ул. Менжинского 28К2,0
11728,Москва ЮЗАО р-н Котловка Нагорная ул. 7К1,0
4020,Москва СВАО р-н Северный Дмитровское ш. 169К3,0
14630,Москва ЮВАО р-н Лефортово проезд Невельского 1к3,0
25919,Москва ЗАО р-н Тропарево-Никулино просп. Вернадского 105к4,0
12726,Москва ЮАО р-н Орехово-Борисово Южное Елецкая ул. 9К3,0
8251,Москва ВАО р-н Преображенское Большая Черкизовская ул. 9К5,0
10391,Москва САО р-н Тимирязевский Красностуденческий проезд 13,0
9282,Москва СВАО р-н Алексеевский ул. Константинова 1,0
27382,Москва ЮЗАО р-н Ломоносовский ул. Архитектора Власова 6,0
6150,Москва ЮВАО р-н Текстильщики Юго-Восточный административный округ 90А Грайвороново квартал к2,0
18987,Москва ВАО р-н Сокольники ул. 2-я Сокольническая 1,0
21367,Москва НАО (Новомосковский) Сосенское поселение Сосенки деревня ул. Ясеневая 5к1,1
400,Москва НАО (Новомосковский) Десеновское поселение ул. 3-я Нововатутинская 11,0
19803,Москва СЗАО р-н Митино Северо-Западный административный округ Митинский Лес жилой комплекс 15к1,5
82,Москва ЗелАО р-н Старое Крюково Зеленоград мкр. 8-й к814,0
26947,Москва ЦАО р-н Хамовники Пожарский пер. 8,1
14452,Москва НАО (Новомосковский) Коммунарка поселок ул. Липовый Парк 8к2,1
28767,Москва ЦАО р-н Красносельский Мясницкая ул. 15,21
28313,Москва ВАО р-н Восточное Измайлово Измайловский бул. 46,0
26103,Москва ЮАО р-н Царицыно Кантемировская ул. 29,0
7930,Москва ЗАО р-н Можайский ул. Багрицкого 53,0
18821,Москва ЗАО р-н Кунцево ул. Ивана Франко 40К1,0
14474,Москва ВАО р-н Богородское Краснобогатырская ул. 7,1
25426,Москва ЮЗАО р-н Зюзино Балаклавский просп. 50,0
19397,Москва СВАО р-н Отрадное ул. Декабристов 2К2,1
10130,Москва ЮВАО р-н Некрасовка просп. Защитников Москвы 15,0
15683,Москва ЗАО р-н Раменки ул. Столетова 8,1
28109,Москва ЦАО р-н Хамовники Гагаринский пер. 7к1,1
16568,Москва ЮАО р-н Даниловский Автозаводская ул. 23Бк2,0
29188,Москва ЦАО р-н Пресненский Тверской бул. 8,13
5662,Москва ВАО р-н Новогиреево Федеративный просп. 22К3,0
27018,Москва ЦАО р-н Хамовники Барыковский пер. 6,1
24838,Москва НАО (Новомосковский) Сосенское поселение ул. Александры Монаховой 95к2,0
