mart_3.id,mart_3.price,mart_3.district,mart_3.rooms,mart_3.total_area,mart_3.current_floor,mart_3.max_floor,mart_3.build_year,mart_3.bath,mart_3.repair,mart_3.window_type
63,5096000.0,Кузьминки,,16.0,5.0,5.0,1971.0,1 совмещенный,Дизайнерский,Во двор
64,4929000.0,Старое Крюково,,,5.0,9.0,,1 совмещенный,Евроремонт,На улицу
65,4300000.0,Текстильщики,,,1.0,5.0,1957.0,1 совмещенный,Косметический,Во двор
66,6900000.0,Люблино,,,6.0,25.0,2021.0,1 совмещенный,Косметический,На улицу
67,6200000.0,Головинский,,,6.0,9.0,2019.0,1 совмещенный,Косметический,Во двор
68,5250000.0,Очаково-Матвеевское,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу и двор
69,6115000.0,Сосенское поселение,,,8.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
70,6000000.0,Рязановское поселение,,20.0,11.0,16.0,,1 совмещенный,Без ремонта,На улицу
71,4840000.0,Очаково-Матвеевское,,,2.0,9.0,,1 совмещенный,Евроремонт,На улицу и двор
72,4550000.0,Северное Тушино,,11.0,1.0,9.0,1971.0,1 совмещенный,Косметический,На улицу и двор
73,6800000.0,Сосенское поселение,,,11.0,18.0,2022.0,1 совмещенный,Без ремонта,На улицу
74,5000000.0,Сосенское поселение,,,3.0,16.0,2022.0,1 совмещенный,Без ремонта,Во двор
75,5900000.0,Филимонковское поселение,,,8.0,12.0,2019.0,1 совмещенный,Без ремонта,Во двор
76,6800000.0,Очаково-Матвеевское,,,8.0,9.0,,1 совмещенный,Евроремонт,На улицу
77,6100000.0,Десеновское поселение,,,6.0,13.0,2021.0,1 совмещенный,Евроремонт,На улицу
78,6999000.0,Очаково-Матвеевское,,20.0,4.0,9.0,,1 совмещенный,Дизайнерский,На улицу
79,6500000.0,Сосенское поселение,,,7.0,16.0,2022.0,1 совмещенный,Без ремонта,На улицу и двор
80,5472000.0,Кузьминки,,16.0,2.0,5.0,1971.0,1 совмещенный,Косметический,На улицу
81,4990000.0,Старое Крюково,,,8.0,9.0,,1 совмещенный,Косметический,На улицу и двор
82,4650000.0,Старое Крюково,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу
83,6995000.0,Сосенское поселение,,,7.0,16.0,2022.0,1 совмещенный, 1 раздельный,Без ремонта
84,6699000.0,Сосенское поселение,,19.0,11.0,16.0,,,Без ремонта,На улицу
85,6350000.0,ш. Рязановское,,,13.0,13.0,2021.0,1 совмещенный,Без ремонта,На улицу
86,6240000.0,Очаково-Матвеевское,,,4.0,9.0,,1 совмещенный,Евроремонт,На улицу
87,6500000.0,Десеновское поселение,,,3.0,17.0,2022.0,1 совмещенный,Косметический,Во двор
88,6790000.0,Кузьминки,,,3.0,5.0,1971.0,1 совмещенный,Евроремонт,На улицу и двор
89,6738000.0,Очаково-Матвеевское,,,5.0,9.0,,1 совмещенный,Евроремонт,Во двор
90,6500000.0,Рязановское поселение,,,13.0,13.0,2021.0,1 совмещенный,Косметический,На улицу
91,3919500.0,Старое Крюково,,,6.0,9.0,,1 совмещенный,Евроремонт,Во двор
92,6200000.0,Рязановское поселение,,,11.0,13.0,,1 совмещенный, 1 раздельный,Косметический
93,6200000.0,Десеновское поселение,,28.0,11.0,16.0,2022.0,1 совмещенный,Косметический,Во двор
94,5999000.0,Рязановское поселение,,,4.0,13.0,,1 совмещенный,Косметический,На улицу
95,4900000.0,Филимонковское поселение,,28.0,2.0,6.0,2021.0,1 совмещенный,Без ремонта,Во двор
96,6500000.0,Московский поселение,,,17.0,20.0,2022.0,1 совмещенный,Без ремонта,Во двор
97,5100000.0,Филимонковское поселение,,,7.0,9.0,,1 совмещенный,Без ремонта,
98,6200000.0,Сосенское поселение,,23.0,15.0,17.0,2022.0,1 совмещенный,Евроремонт,
99,6000000.0,Рязановское поселение,,,13.0,14.0,2021.0,1 совмещенный,Косметический,Во двор
100,5800000.0,ш. Рязановское,,,9.0,13.0,2021.0,1 раздельный,Евроремонт,
101,5500000.0,ш. Рязановское,,,6.0,13.0,2021.0,1 совмещенный,Евроремонт,
102,6500000.0,Сосенское поселение,,20.0,5.0,17.0,2021.0,1 совмещенный,Евроремонт,
103,4592000.0,Очаково-Матвеевское,,,6.0,9.0,,1 совмещенный,Евроремонт,Во двор
104,5700000.0,Головинский,,,2.0,9.0,,1 совмещенный,Косметический,
105,6300000.0,Восточное Измайлово,,,1.0,5.0,1952.0,1 совмещенный,Косметический,На улицу
106,5500000.0,Кокошкино дп,,,10.0,14.0,,1 совмещенный,Евроремонт,Во двор
107,6500000.0,Сосенское поселение,,,6.0,15.0,2022.0,1 совмещенный,Евроремонт,
108,6200000.0,Рязановское поселение,,23.0,6.0,14.0,2022.0,1 совмещенный,Косметический,
109,6300000.0,Десеновское поселение,,26.0,6.0,16.0,2022.0,,Евроремонт,На улицу
110,5292000.0,Очаково-Матвеевское,,,5.0,9.0,,1 совмещенный,Евроремонт,Во двор
111,6590000.0,Кунцево,,20.0,13.0,25.0,2021.0,1 совмещенный,Косметический,Во двор
112,6185000.0,Московский поселение,,,11.0,25.0,2022.0,,Без ремонта,На улицу
113,6035000.0,Филимонковское поселение,,29.0,6.0,9.0,,1 совмещенный,Косметический,Во двор
114,5500000.0,Марушкинское поселение,,22.0,1.0,17.0,2017.0,1 совмещенный,Косметический,Во двор
115,5500000.0,Рязановское поселение,,,8.0,13.0,,1 совмещенный,Без ремонта,На улицу
116,3200000.0,Можайский,,,1.0,14.0,2007.0,,Без ремонта,Во двор
117,6370000.0,Очаково-Матвеевское,,,2.0,9.0,,1 раздельный,Евроремонт,
118,6000000.0,Марушкинское поселение,,24.0,6.0,7.0,2021.0,1 совмещенный,Косметический,Во двор
119,6450000.0,Кузьминки,,16.0,3.0,5.0,1971.0,1 совмещенный,Косметический,На улицу
120,6000000.0,Марушкинское поселение,,24.0,7.0,7.0,,1 совмещенный,,
121,5700000.0,Сосенское поселение,,,6.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
122,5700000.0,Кокошкино поселение,,23.0,11.0,14.0,,1 совмещенный,Евроремонт,На улицу
123,5700000.0,Коммунарка поселок,,,4.0,16.0,2022.0,,Без ремонта,
124,6000000.0,Коммунарка поселок,,,8.0,17.0,,1 совмещенный,Евроремонт,
125,4592000.0,Очаково-Матвеевское,,,2.0,9.0,,1 раздельный,Косметический,
126,5999000.0,Сосенское поселение,,27.0,7.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
127,6500000.0,Щербинка,,27.0,11.0,23.0,2016.0,1 совмещенный,Евроремонт,Во двор
128,4480000.0,Очаково-Матвеевское,,,3.0,9.0,,1 совмещенный,Косметический,Во двор
129,6500000.0,Кунцево,,,9.0,25.0,,1 совмещенный,Косметический,На улицу
130,6300000.0,Десеновское поселение,,,6.0,16.0,2020.0,1 совмещенный,Косметический,На улицу
131,4990000.0,Ново-Переделкино,,19.0,1.0,17.0,1988.0,,Косметический,На улицу и двор
132,5150000.0,Филимонковское поселение,,27.0,3.0,4.0,2021.0,1 совмещенный,Без ремонта,Во двор
133,6200000.0,Филимонковское поселение,,,8.0,9.0,,1 совмещенный,Косметический,Во двор
134,6050000.0,Сосенское поселение,,,8.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
135,6535000.0,Десеновское поселение,,,17.0,17.0,2022.0,1 совмещенный,Без ремонта,Во двор
136,6450000.0,Московский поселение,,23.0,18.0,22.0,2022.0,1 совмещенный,Без ремонта,На улицу и двор
137,5600000.0,Марушкинское поселение,,,7.0,7.0,,1 совмещенный,,Во двор
138,5990000.0,Сосенское поселение,,,6.0,14.0,2022.0,1 совмещенный,Без ремонта,Во двор
139,5650000.0,Сосенское поселение,,,8.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
140,5800000.0,Рязановское поселение,,,6.0,17.0,,1 раздельный,Евроремонт,
141,5600000.0,Марушкинское поселение,,24.0,7.0,7.0,2021.0,1 совмещенный,Без ремонта,На улицу
142,5900000.0,Филимонковское поселение,,,8.0,12.0,2019.0,1 совмещенный,Без ремонта,Во двор
143,6050000.0,Кузьминки,,,2.0,5.0,1971.0,1 совмещенный,Евроремонт,На улицу
144,5385000.0,Сосенское поселение,,,6.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
145,5550000.0,Сосенское поселение,,,8.0,9.0,,1 совмещенный,Без ремонта,Во двор
146,5290000.0,Сосенское поселение,,,2.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
147,5200000.0,Сосенское поселение,,20.0,3.0,12.0,2022.0,1 совмещенный,Без ремонта,Во двор
148,4535000.0,Старое Крюково,,,8.0,9.0,,1 совмещенный,Косметический,Во двор
149,5750000.0,Сосенское поселение,,,2.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
150,5735000.0,Сосенское поселение,,,2.0,9.0,2022.0,1 совмещенный,Косметический,Во двор
151,6450000.0,Рязановское поселение,,28.0,14.0,14.0,2020.0,1 совмещенный,Косметический,На улицу и двор
152,4690000.0,Люблино,,,1.0,12.0,1982.0,1 совмещенный,Косметический,
153,6500000.0,Сосенское поселение,,,10.0,17.0,2022.0,1 совмещенный,Без ремонта,
154,5835000.0,Сосенское поселение,,,2.0,9.0,2022.0,1 совмещенный,Косметический,Во двор
155,5950000.0,Рязановское поселение,,26.0,7.0,14.0,2021.0,1 совмещенный,Дизайнерский,
156,5650000.0,Филимонковское поселение,,,4.0,8.0,2022.0,1 совмещенный,Без ремонта,Во двор
157,6450000.0,Рязановское поселение,,,5.0,11.0,,,Косметический,Во двор
158,5500000.0,Сосенское поселение,,,4.0,9.0,2022.0,1 совмещенный,Без ремонта,Во двор
159,6500000.0,Десеновское поселение,,,7.0,14.0,2021.0,1 совмещенный,Евроремонт,На улицу
160,5550000.0,Орехово-Борисово Южное,,21.0,2.0,14.0,2018.0,1 совмещенный,Евроремонт,Во двор
161,6050000.0,Нижегородский,,,3.0,5.0,1975.0,1 совмещенный,Косметический,Во двор
162,5800000.0,Рязановское поселение,,,6.0,13.0,,1 совмещенный,Косметический,На улицу
163,6500000.0,Сосенское поселение,,,8.0,16.0,2022.0,1 совмещенный,Без ремонта,
164,5800000.0,Рязановское поселение,,,4.0,14.0,2020.0,1 совмещенный,Евроремонт,На улицу
165,6100000.0,Рязановское поселение,,,5.0,14.0,2021.0,1 совмещенный,Евроремонт,На улицу
166,5550000.0,Красносельский,,,1.0,5.0,1960.0,1 совмещенный,Без ремонта,Во двор
167,5600000.0,Рязановское поселение,,,15.0,16.0,,1 совмещенный,Без ремонта,Во двор
168,6500000.0,Аэропорт,,,5.0,8.0,,1 совмещенный,Евроремонт,Во двор
169,4900000.0,Филимонковское поселение,,,2.0,9.0,,1 совмещенный,Без ремонта,Во двор
170,4600000.0,Краснопахорское поселение,,31.0,1.0,3.0,,1 совмещенный,Евроремонт,Во двор
171,4300000.0,Бибирево,,14.0,2.0,12.0,1977.0,1 совмещенный,Косметический,На улицу и двор
172,6350000.0,Филимонковское поселение,,30.0,2.0,4.0,2021.0,1 совмещенный,Евроремонт,Во двор
