mart_3.id,mart_3.price,mart_3.district,mart_3.rooms,mart_3.total_area,mart_3.current_floor,mart_3.max_floor,mart_3.build_year,mart_3.bath,mart_3.repair,mart_3.window_type
7659,11100000.0,Зябликово,2.0,45.0,4.0,9.0,1977.0,1 раздельный,Косметический,Во двор
7660,11250000.0,Косино-Ухтомский,2.0,50.0,8.0,9.0,1973.0,1 раздельный,Косметический,На улицу
7661,11200000.0,Текстильщики,2.0,,4.0,9.0,1965.0,1 совмещенный,Косметический,Во двор
7662,11200000.0,Люблино,2.0,,13.0,14.0,1975.0,1 раздельный,Косметический,Во двор
7663,11400000.0,Зябликово,2.0,43.0,8.0,9.0,1977.0,1 совмещенный,Косметический,
7664,11500000.0,Ивановское,2.0,,8.0,16.0,1977.0,1 раздельный,Косметический,
7665,11500000.0,Северное Медведково,2.0,,1.0,9.0,1969.0,1 раздельный,Косметический,Во двор
7666,11300000.0,Ивановское,2.0,,3.0,9.0,1972.0,1 раздельный,,Во двор
7667,11335000.0,Сосенское поселение,2.0,,2.0,12.0,2021.0,1 совмещенный,Дизайнерский,Во двор
7668,11000000.0,Дмитровский,2.0,45.0,3.0,9.0,1967.0,1 совмещенный,,На улицу
7669,11400000.0,Московский поселение,2.0,,9.0,25.0,2018.0,1 совмещенный,Косметический,На улицу
7670,11300000.0,Текстильщики,2.0,43.0,2.0,8.0,1962.0,,Косметический,На улицу
7671,11500000.0,Крюково,2.0,,12.0,12.0,1993.0,1 совмещенный,Дизайнерский,Во двор
7672,11490000.0,Зюзино,2.0,45.0,2.0,5.0,1963.0,1 совмещенный,Косметический,
7673,11500000.0,Новогиреево,2.0,42.0,3.0,9.0,1967.0,1 раздельный,,Во двор
7674,11400000.0,Царицыно,2.0,,7.0,9.0,1968.0,1 раздельный,Косметический,Во двор
7675,11500000.0,Коммунарка поселок,2.0,46.0,6.0,25.0,2016.0,1 совмещенный,Косметический,
7676,11200000.0,Текстильщики,2.0,43.0,2.0,8.0,1962.0,1 совмещенный,Косметический,Во двор
7677,11200000.0,Текстильщики,2.0,,4.0,9.0,1965.0,1 совмещенный,Косметический,Во двор
7678,11100000.0,Кузьминки,2.0,,5.0,5.0,1963.0,1 совмещенный,Косметический,Во двор
7679,11500000.0,Филимонковское поселение,2.0,,2.0,3.0,2012.0,1 раздельный,Без ремонта,На улицу
7680,11200000.0,Орехово-Борисово Южное,2.0,47.0,7.0,9.0,1975.0,,Без ремонта,Во двор
7681,11350000.0,Десеновское поселение,2.0,,8.0,14.0,2022.0,2 совмещенных,Евроремонт,
7682,11400000.0,Черемушки,2.0,37.0,1.0,9.0,1963.0,1 совмещенный,Косметический,На улицу
7683,11400000.0,Лианозово,2.0,46.0,5.0,9.0,1977.0,2 раздельных,Косметический,
7684,11200000.0,Южнопортовый,2.0,,8.0,9.0,1964.0,1 совмещенный,Косметический,
7685,11200000.0,Очаково-Матвеевское,2.0,,6.0,12.0,1970.0,1 совмещенный,Косметический,На улицу
7686,11200000.0,Щербинка,2.0,,7.0,17.0,2013.0,1 раздельный,Косметический,Во двор
7687,11200000.0,Коммунарка поселок,2.0,,10.0,12.0,2015.0,1 совмещенный,Евроремонт,На улицу
7688,11200000.0,Текстильщики,2.0,45.0,1.0,12.0,1966.0,1 раздельный,Косметический,
7689,11100000.0,Марьино,2.0,,1.0,12.0,1979.0,1 раздельный,,Во двор
7690,11100000.0,Перово,2.0,42.0,2.0,6.0,1961.0,,Евроремонт,На улицу
7691,11250000.0,Сокольники,2.0,37.0,5.0,9.0,1967.0,1 раздельный,Косметический,Во двор
7692,11250000.0,Гольяново,2.0,,7.0,14.0,1970.0,1 раздельный,Евроремонт,На улицу и двор
7693,11100000.0,Измайлово,2.0,38.0,2.0,14.0,1973.0,1 раздельный,Без ремонта,На улицу
7694,11190000.0,Преображенское,2.0,41.0,2.0,5.0,1966.0,1 раздельный,Косметический,Во двор
7695,11250000.0,Десеновское поселение,2.0,58.0,2.0,13.0,2022.0,2 раздельных,Косметический,На улицу и двор
7696,11200000.0,Некрасовка,2.0,42.0,23.0,23.0,2022.0,1 совмещенный,Евроремонт,Во двор
7697,11300000.0,Коммунарка поселок,2.0,40.0,4.0,14.0,2021.0,1 совмещенный,Евроремонт,На улицу
7698,11250000.0,Десеновское поселение,2.0,,13.0,14.0,2022.0,,Косметический,На улицу и двор
7699,11100000.0,Лианозово,2.0,,4.0,16.0,1978.0,1 раздельный,Косметический,Во двор
7700,11250000.0,Десеновское поселение,2.0,57.0,13.0,14.0,2022.0,,Косметический,На улицу и двор
7701,11490000.0,Очаково-Матвеевское,2.0,47.0,3.0,12.0,1968.0,1 совмещенный,Косметический,Во двор
7702,11500000.0,Отрадное,2.0,45.0,9.0,9.0,1975.0,1 раздельный,Косметический,Во двор
7703,11500000.0,Московский,2.0,51.0,15.0,17.0,2010.0,1 совмещенный,Евроремонт,На улицу
7704,11500000.0,Северное Медведково,2.0,,1.0,9.0,1969.0,1 раздельный,Косметический,Во двор
7705,11300000.0,Чертаново Северное,2.0,,10.0,14.0,1969.0,1 раздельный,Косметический,Во двор
7706,11500000.0,Отрадное,2.0,,3.0,9.0,1975.0,1 совмещенный,Косметический,Во двор
7707,11500000.0,Бирюлево Восточное,2.0,53.0,1.0,12.0,1982.0,1 раздельный,Косметический,На улицу и двор
7708,11300000.0,Южное Бутово,2.0,,1.0,6.0,1996.0,1 раздельный,Косметический,На улицу
7709,11500000.0,Савёлки,2.0,54.0,8.0,14.0,,,Евроремонт,
7710,11500000.0,Внуковское поселение,2.0,,2.0,24.0,2016.0,1 совмещенный,Дизайнерский,Во двор
7711,11100000.0,Бибирево,2.0,,8.0,12.0,1975.0,1 раздельный,Косметический,
7712,11300000.0,Гольяново,2.0,51.0,4.0,17.0,1995.0,1 раздельный,Косметический,На улицу
7713,11300000.0,Войковский,2.0,48.0,1.0,9.0,1975.0,1 раздельный,Без ремонта,На улицу и двор
7714,11400000.0,Щербинка,2.0,,2.0,21.0,2015.0,1 раздельный,Без ремонта,Во двор
7715,11400000.0,Нагорный,2.0,,2.0,9.0,1963.0,1 раздельный,,
7716,11300000.0,Щербинка,2.0,72.0,16.0,21.0,2016.0,1 совмещенный,Косметический,Во двор
7717,11450000.0,Текстильщики,2.0,48.0,3.0,9.0,1969.0,1 раздельный,Евроремонт,Во двор
7718,11300000.0,Первомайское поселение,2.0,,1.0,9.0,2018.0,1 совмещенный, 1 раздельный,Евроремонт
7719,11500000.0,Ясенево,2.0,,5.0,9.0,1976.0,1 раздельный,Косметический,Во двор
7720,11300000.0,Измайлово,2.0,46.0,5.0,5.0,1966.0,1 совмещенный,Евроремонт,Во двор
7721,11300000.0,Восточное Дегунино,2.0,,9.0,9.0,1972.0,1 раздельный,Косметический,Во двор
7722,11200000.0,Выхино-Жулебино,2.0,,4.0,14.0,1969.0,1 раздельный,Евроремонт,Во двор
7723,11411000.0,Аэропорт,2.0,,2.0,5.0,1961.0,1 совмещенный,Косметический,Во двор
7724,11500000.0,Щербинка,2.0,,3.0,9.0,1982.0,1 раздельный,Евроремонт,На улицу
7725,11500000.0,Братеево,2.0,51.0,2.0,14.0,1985.0,1 раздельный,Без ремонта,
7726,11350000.0,Войковский,2.0,,5.0,5.0,1963.0,1 совмещенный,Косметический,На улицу
7727,11400000.0,Савеловский,2.0,,6.0,9.0,1966.0,1 совмещенный,Без ремонта,Во двор
7728,11350000.0,Коньково,2.0,43.0,2.0,9.0,1970.0,1 совмещенный,Косметический,Во двор
7729,11100000.0,Богородское,2.0,50.0,5.0,5.0,1960.0,1 раздельный,Косметический,Во двор
7730,11000000.0,Гагаринский,2.0,,1.0,8.0,1964.0,,Без ремонта,Во двор
7731,11300000.0,Гольяново,2.0,46.0,4.0,9.0,1970.0,1 совмещенный,Евроремонт,
7732,11500000.0,Зюзино,2.0,46.0,3.0,5.0,1964.0,1 совмещенный,Косметический,Во двор
7733,11400000.0,Измайлово,2.0,,3.0,5.0,1965.0,1 раздельный,Косметический,На улицу
7734,11300000.0,Братеево,2.0,,10.0,17.0,1986.0,1 раздельный,Косметический,Во двор
7735,11250000.0,Бибирево,2.0,,5.0,12.0,1980.0,1 раздельный,Косметический,Во двор
7736,11500000.0,Ломоносовский,2.0,40.0,1.0,14.0,1969.0,1 совмещенный,Дизайнерский,Во двор
7737,11500000.0,Зюзино,2.0,,3.0,9.0,1966.0,1 совмещенный,Дизайнерский,На улицу
7738,11100000.0,Ярославский,2.0,,3.0,16.0,1980.0,1 раздельный,Косметический,Во двор
7739,11100000.0,Ясенево,2.0,54.0,1.0,16.0,1976.0,1 раздельный,Косметический,Во двор
7740,11300000.0,Московский,2.0,,13.0,26.0,2021.0,,Без ремонта,
7741,11500000.0,Теплый Стан,2.0,,7.0,9.0,1972.0,1 совмещенный,Косметический,Во двор
7742,11250000.0,Орехово-Борисово Южное,2.0,,1.0,9.0,1979.0,1 совмещенный,Евроремонт,На улицу
7743,11300000.0,Чертаново Южное,2.0,,8.0,9.0,1971.0,1 раздельный,Косметический,Во двор
7744,11299999.0,Люблино,2.0,55.0,2.0,8.0,2003.0,1 раздельный,,Во двор
7745,11300000.0,Гольяново,2.0,,4.0,5.0,1967.0,,Косметический,Во двор
7746,11150000.0,Матушкино,2.0,,9.0,14.0,2007.0,,Косметический,
7747,11100000.0,Измайлово,2.0,,1.0,5.0,1960.0,1 раздельный,Евроремонт,Во двор
7748,11250000.0,Ховрино,2.0,45.0,2.0,14.0,1971.0,1 совмещенный,Косметический,Во двор
7749,11100000.0,Кунцево,2.0,,8.0,9.0,1971.0,1 раздельный,Без ремонта,На улицу
7750,11300000.0,Сосенское поселение,2.0,55.0,3.0,15.0,2020.0,1 раздельный,Без ремонта,На улицу и двор
7751,11421000.0,Алексеевский,2.0,,2.0,5.0,1964.0,1 раздельный,Косметический,На улицу
7752,11100000.0,Аэропорт,2.0,,1.0,5.0,1958.0,1 совмещенный,Косметический,
7753,11500000.0,Ново-Переделкино,2.0,52.0,3.0,14.0,1989.0,1 раздельный,Косметический,
7754,11300000.0,Коньково,2.0,45.0,3.0,12.0,1969.0,1 раздельный,Без ремонта,Во двор
7755,11200000.0,Выхино-Жулебино,2.0,,3.0,9.0,1968.0,1 совмещенный,Евроремонт,На улицу
7756,11100000.0,Зюзино,2.0,45.0,1.0,5.0,1964.0,,Косметический,
7757,11200000.0,Крюково,2.0,,3.0,14.0,1994.0,1 раздельный,Евроремонт,Во двор
7758,11300000.0,Некрасовка,2.0,54.0,7.0,19.0,2010.0,1 раздельный,Косметический,Во двор
7759,11300000.0,Солнцево,2.0,,2.0,12.0,1971.0,1 раздельный,Евроремонт,Во двор
7760,11500000.0,Сосенское поселение,2.0,,3.0,15.0,2022.0,1 совмещенный,Без ремонта,На улицу
7761,11200000.0,Котловка,2.0,42.0,1.0,12.0,1966.0,1 раздельный,Косметический,На улицу
7762,11200000.0,Десеновское поселение,2.0,58.0,14.0,17.0,2018.0,1 раздельный,Косметический,Во двор
7763,11300000.0,Сосенское поселение,2.0,40.0,10.0,16.0,2020.0,1 совмещенный,Евроремонт,Во двор
7764,11500000.0,Лианозово,2.0,,8.0,12.0,1977.0,1 раздельный,Косметический,
7765,11300000.0,Войковский,2.0,38.0,4.0,14.0,1975.0,1 раздельный,Косметический,Во двор
7766,11200000.0,Ярославский,2.0,45.0,3.0,9.0,1969.0,1 совмещенный,,Во двор
7767,11220000.0,Текстильщики,2.0,45.0,4.0,12.0,1968.0,1 раздельный,Косметический,Во двор
7768,11200000.0,Орехово-Борисово Южное,2.0,,12.0,12.0,1978.0,1 раздельный,Косметический,Во двор
7769,11500000.0,Капотня,2.0,50.0,4.0,4.0,,1 раздельный,Косметический,
7770,11200000.0,Десеновское поселение,2.0,,13.0,16.0,2022.0,1 совмещенный,Евроремонт,На улицу
7771,11290000.0,Вешняки,2.0,,6.0,9.0,1972.0,1 раздельный,Без ремонта,Во двор
7772,11500000.0,Митино,2.0,,6.0,24.0,2022.0,2 раздельных,Без ремонта,На улицу и двор
7773,11500000.0,Войковский,2.0,44.0,8.0,9.0,1963.0,1 совмещенный,Косметический,Во двор
7774,11200000.0,Преображенское,2.0,44.0,6.0,9.0,1966.0,1 раздельный,Без ремонта,Во двор
7775,11100000.0,Северное Измайлово,2.0,48.0,6.0,9.0,1966.0,1 раздельный,Косметический,Во двор
7776,11200000.0,Десеновское поселение,2.0,,4.0,16.0,2022.0,1 совмещенный,Косметический,Во двор
7777,11100000.0,Вешняки,2.0,,6.0,9.0,1971.0,1 раздельный,Без ремонта,
7778,11200000.0,Десеновское поселение,2.0,,14.0,16.0,2022.0,1 раздельный,Евроремонт,Во двор
7779,11500000.0,Митино,2.0,,5.0,11.0,1996.0,1 раздельный,,Во двор
7780,11500000.0,Чертаново Южное,2.0,,1.0,12.0,1978.0,1 совмещенный,Евроремонт,Во двор
7781,11500000.0,Царицыно,2.0,,17.0,17.0,1997.0,1 раздельный,,На улицу
7782,11500000.0,Савёлки,2.0,,2.0,14.0,1970.0,1 совмещенный,Дизайнерский,На улицу
7783,11500000.0,Солнцево,2.0,,2.0,4.0,1960.0,1 совмещенный,Без ремонта,Во двор
7784,11500000.0,Ховрино,2.0,,4.0,12.0,1965.0,1 совмещенный,,Во двор
7785,11500000.0,Отрадное,2.0,,6.0,12.0,1975.0,1 раздельный,Евроремонт,На улицу
7786,11490000.0,Марьино,2.0,,3.0,16.0,2002.0,1 раздельный,,Во двор
7787,11500000.0,Сосенское поселение,2.0,56.0,9.0,9.0,2022.0,1 раздельный,Евроремонт,Во двор
7788,11500000.0,Рязановское поселение,2.0,,12.0,12.0,,1 раздельный,Евроремонт,
7789,11490000.0,Савёлки,2.0,56.0,5.0,14.0,1969.0,,Евроремонт,Во двор
7790,11500000.0,Ново-Переделкино,2.0,,2.0,17.0,1989.0,1 раздельный,Косметический,На улицу
7791,11500000.0,Северное Тушино,2.0,45.0,9.0,12.0,1973.0,1 раздельный,,Во двор
7792,11500000.0,Чертаново Центральное,2.0,47.0,6.0,9.0,1970.0,1 раздельный,Косметический,Во двор
7793,11500000.0,Тропарево-Никулино,2.0,47.0,1.0,9.0,1968.0,1 раздельный,Косметический,Во двор
7794,11500000.0,Ясенево,2.0,45.0,2.0,9.0,1978.0,1 раздельный,Евроремонт,На улицу
7795,11499000.0,Текстильщики,2.0,,9.0,9.0,1970.0,,Косметический,
7796,11500000.0,Крюково,2.0,,16.0,17.0,2019.0,1 совмещенный,Евроремонт,
7797,11500000.0,Щаповское поселение,2.0,,3.0,9.0,2013.0,1 раздельный,Дизайнерский,На улицу и двор
7798,11500000.0,Свиблово,2.0,44.0,9.0,14.0,1971.0,1 раздельный,Косметический,Во двор
7799,11490000.0,Очаково-Матвеевское,2.0,,1.0,16.0,1975.0,1 раздельный,Косметический,Во двор
7800,11500000.0,Люблино,2.0,,5.0,12.0,1976.0,1 раздельный,Косметический,Во двор
7801,11500000.0,Зюзино,2.0,43.0,1.0,5.0,1962.0,,Косметический,Во двор
7802,11500000.0,Бибирево,2.0,,12.0,12.0,1982.0,1 раздельный,Евроремонт,Во двор
7803,11490000.0,Гольяново,2.0,50.0,2.0,17.0,1990.0,1 раздельный,Евроремонт,Во двор
7804,11500000.0,Филимонковское поселение,2.0,54.0,8.0,9.0,,1 раздельный,Евроремонт,Во двор
7805,11500000.0,Кунцево,2.0,43.0,1.0,5.0,1964.0,1 совмещенный,Евроремонт,Во двор
7806,11500000.0,Восточный,2.0,,17.0,17.0,2008.0,1 раздельный,,
7807,11500000.0,Проспект Вернадского,2.0,,2.0,9.0,1963.0,1 совмещенный,,Во двор
7808,11500000.0,Сосенское поселение,2.0,,3.0,15.0,2020.0,2 раздельных,,Во двор
7809,11500000.0,Сосенское поселение,2.0,,16.0,17.0,2015.0,1 раздельный,,На улицу и двор
7810,11600000.0,Люблино,2.0,47.0,3.0,9.0,1971.0,1 совмещенный,Евроремонт,На улицу и двор
7811,11600000.0,Ивановское,2.0,,5.0,12.0,1977.0,1 раздельный,Косметический,Во двор
7812,11600000.0,Преображенское,2.0,,1.0,14.0,1970.0,1 совмещенный,Косметический,Во двор
7813,11635000.0,Сосенское поселение,2.0,60.0,6.0,14.0,2021.0,1 совмещенный,Без ремонта,Во двор
7814,11600000.0,Московский поселение,2.0,,17.0,26.0,2020.0,1 раздельный,Евроремонт,Во двор
7815,11600000.0,Чертаново Северное,2.0,,5.0,12.0,1973.0,1 раздельный,Косметический,Во двор
7816,11500000.0,Текстильщики,2.0,43.0,3.0,9.0,1972.0,1 совмещенный,Евроремонт,На улицу
7817,11600000.0,Лосиноостровский,2.0,49.0,3.0,4.0,1956.0,1 раздельный,Косметический,На улицу и двор
7818,11600000.0,Отрадное,2.0,52.0,9.0,12.0,1979.0,1 раздельный,Косметический,Во двор
7819,11600000.0,Орехово-Борисово Южное,2.0,,7.0,9.0,1977.0,1 раздельный,Евроремонт,Во двор
7820,11600000.0,Покровское-Стрешнево,2.0,44.0,6.0,9.0,1979.0,1 раздельный,Косметический,Во двор
7821,11600000.0,Марфино,2.0,,4.0,5.0,1962.0,1 совмещенный,Косметический,Во двор
7822,11600000.0,Войковский,2.0,43.0,4.0,5.0,1960.0,1 совмещенный,Евроремонт,Во двор
7823,11740000.0,Сосенское поселение,2.0,63.0,9.0,17.0,2014.0,1 раздельный,Косметический,На улицу
7824,11600000.0,Черемушки,2.0,,8.0,9.0,1961.0,1 совмещенный,Косметический,Во двор
7825,11550000.0,Южное Бутово,2.0,,3.0,12.0,1999.0,1 раздельный,Косметический,Во двор
7826,11600000.0,Северное Тушино,2.0,40.0,8.0,12.0,1968.0,1 раздельный,Косметический,Во двор
7827,11600000.0,Кунцево,2.0,,2.0,5.0,1964.0,1 совмещенный,Евроремонт,На улицу
7828,11600000.0,Ивановское,2.0,53.0,10.0,12.0,1975.0,1 раздельный,Дизайнерский,На улицу
7829,11550000.0,Марьино,2.0,51.0,11.0,17.0,1985.0,1 раздельный,Косметический,Во двор
7830,11600000.0,Митино,2.0,,3.0,9.0,1998.0,,Косметический,На улицу и двор
7831,11550000.0,Таганский,2.0,34.0,8.0,9.0,1972.0,,Косметический,
7832,11600000.0,Ново-Переделкино,2.0,54.0,2.0,17.0,1988.0,1 раздельный,,Во двор
7833,11600000.0,Ховрино,2.0,,4.0,12.0,1965.0,1 совмещенный,Косметический,На улицу
7834,11600000.0,Академический,2.0,,4.0,4.0,1957.0,1 совмещенный,Без ремонта,На улицу
7835,11628160.0,Некрасовка,2.0,,4.0,25.0,2022.0,1 раздельный,Без ремонта,
7836,11550000.0,Чертаново Северное,2.0,45.0,4.0,9.0,1969.0,1 раздельный,Косметический,Во двор
7837,11600000.0,Нагорный,2.0,44.0,9.0,9.0,1969.0,1 раздельный,Косметический,Во двор
7838,11600000.0,Южное Тушино,2.0,,1.0,12.0,1976.0,1 раздельный,Евроремонт,Во двор
7839,11600000.0,Аэропорт,2.0,,4.0,8.0,1959.0,1 совмещенный,Без ремонта,Во двор
7840,11550000.0,Матушкино,2.0,,7.0,10.0,2007.0,1 раздельный,Косметический,Во двор
7841,11600000.0,Крюково,2.0,58.0,14.0,14.0,1993.0,1 раздельный,Косметический,На улицу и двор
7842,11600000.0,Некрасовка,2.0,,16.0,25.0,2015.0,1 раздельный,Косметический,Во двор
7843,11600000.0,Восточное Измайлово,2.0,,7.0,9.0,1969.0,1 раздельный,Евроремонт,
7844,11600000.0,Рязановское поселение,2.0,,8.0,12.0,2022.0,1 совмещенный, 1 раздельный,Косметический
7845,11600000.0,Отрадное,2.0,46.0,11.0,12.0,1975.0,1 раздельный,,Во двор
7846,11600000.0,Московский,2.0,,22.0,25.0,2021.0,1 совмещенный,Без ремонта,На улицу и двор
7847,11600000.0,Внуковское поселение,2.0,40.0,1.0,14.0,2017.0,1 совмещенный,Евроремонт,На улицу
7848,11600000.0,Марьино,2.0,58.0,2.0,16.0,1980.0,1 раздельный,,Во двор
7849,11700000.0,Воскресенское поселение,2.0,63.0,7.0,17.0,2015.0,1 раздельный,Косметический,На улицу и двор
7850,11700000.0,Выхино-Жулебино,2.0,,8.0,9.0,1996.0,1 раздельный,,На улицу и двор
7851,11700000.0,Кузьминки,2.0,,4.0,9.0,1963.0,1 совмещенный,Косметический,На улицу и двор
7852,11700000.0,Бабушкинский,2.0,45.0,7.0,9.0,1977.0,1 совмещенный,Евроремонт,Во двор
7853,11700000.0,Московский,2.0,,8.0,12.0,1987.0,,Евроремонт,На улицу
7854,11700000.0,Марьино,2.0,,2.0,12.0,1980.0,1 раздельный,Косметический,На улицу и двор
7855,11700000.0,Люблино,2.0,45.0,8.0,9.0,1975.0,,Косметический,Во двор
7856,11700000.0,Южное Бутово,2.0,,4.0,14.0,2002.0,1 раздельный,Косметический,На улицу
7857,11790000.0,Рязановское поселение,2.0,54.0,7.0,17.0,,,Косметический,
7858,11750000.0,Кузьминки,2.0,,5.0,5.0,1962.0,1 совмещенный,Евроремонт,Во двор
7859,11700000.0,Некрасовка,2.0,60.0,8.0,25.0,2016.0,1 раздельный,Косметический,Во двор
7860,11699000.0,Южное Бутово,2.0,58.0,6.0,22.0,2007.0,1 раздельный,Косметический,На улицу и двор
7861,11700000.0,Московский,2.0,,16.0,19.0,2015.0,1 раздельный,Евроремонт,Во двор
7862,11650000.0,Хорошевский,2.0,,12.0,14.0,1973.0,1 совмещенный,Косметический,Во двор
7863,11700000.0,Черемушки,2.0,37.0,1.0,9.0,1963.0,,Косметический,Во двор
7864,11700000.0,Можайский,2.0,42.0,2.0,5.0,1961.0,1 совмещенный,Евроремонт,На улицу
7865,11700000.0,Зюзино,2.0,,5.0,5.0,1964.0,1 совмещенный,Косметический,Во двор
7866,11790000.0,Бирюлево Восточное,2.0,,13.0,21.0,,1 раздельный,Без ремонта,
7867,11700000.0,Троицк,2.0,53.0,3.0,7.0,2014.0,1 раздельный,Евроремонт,На улицу и двор
7868,11700000.0,Восточное Дегунино,2.0,44.0,6.0,9.0,1979.0,1 раздельный,Евроремонт,
7869,11700000.0,Котловка,2.0,,3.0,5.0,1961.0,1 совмещенный,Косметический,Во двор
7870,11700000.0,Нагатино-Садовники,2.0,,5.0,9.0,1965.0,1 совмещенный,Косметический,На улицу
7871,11700000.0,Лианозово,2.0,,5.0,12.0,1981.0,1 раздельный,Без ремонта,Во двор
7872,11700000.0,Нагатино-Садовники,2.0,,6.0,12.0,1969.0,1 раздельный,Косметический,Во двор
7873,11700000.0,Кузьминки,2.0,40.0,3.0,9.0,1961.0,1 совмещенный,Дизайнерский,Во двор
7874,11749999.0,Черемушки,2.0,,5.0,12.0,1965.0,1 совмещенный,Косметический,Во двор
7875,11650000.0,Ясенево,2.0,,7.0,9.0,1978.0,1 совмещенный,Евроремонт,Во двор
7876,11700000.0,Некрасовка,2.0,,10.0,19.0,2010.0,1 раздельный,,Во двор
7877,11700000.0,Северное Бутово,2.0,,3.0,9.0,1991.0,1 раздельный,,На улицу и двор
7878,11700000.0,Восточное Дегунино,2.0,,7.0,9.0,1971.0,1 раздельный,Косметический,Во двор
7879,11700000.0,Южное Бутово,2.0,,7.0,17.0,2009.0,1 раздельный,Косметический,На улицу и двор
7880,11700000.0,Чертаново Центральное,2.0,,6.0,14.0,1971.0,1 совмещенный,Евроремонт,
7881,11700000.0,Некрасовка,2.0,,6.0,17.0,2010.0,1 раздельный,Евроремонт,Во двор
7882,11750000.0,Таганский,2.0,34.0,8.0,9.0,1972.0,1 совмещенный,Косметический,Во двор
7883,11750000.0,Некрасовка,2.0,,19.0,23.0,2021.0,1 раздельный,Косметический,На улицу и двор
7884,11700000.0,Орехово-Борисово Южное,2.0,,5.0,9.0,1978.0,1 раздельный,Евроремонт,Во двор
7885,11700000.0,Кунцево,2.0,38.0,6.0,9.0,1962.0,1 совмещенный,Косметический,Во двор
7886,11750000.0,Щербинка,2.0,59.0,16.0,17.0,2004.0,1 раздельный,Евроремонт,Во двор
7887,11700000.0,Московский,2.0,51.0,3.0,12.0,1991.0,1 совмещенный,Косметический,На улицу
7888,11750000.0,Зюзино,2.0,,2.0,9.0,1963.0,1 совмещенный,Евроремонт,Во двор
7889,11700000.0,Сосенское поселение,2.0,52.0,15.0,15.0,2018.0,1 раздельный,Косметический,Во двор
7890,11700000.0,Хорошево-Мневники,2.0,45.0,2.0,5.0,1963.0,1 совмещенный,Косметический,На улицу
7891,11700000.0,Ивановское,2.0,45.0,4.0,12.0,1970.0,1 раздельный,Косметический,Во двор
7892,11750000.0,Савёлки,2.0,54.0,8.0,14.0,1969.0,1 раздельный,Косметический,Во двор
7893,11750000.0,Десеновское поселение,2.0,58.0,5.0,19.0,2014.0,1 раздельный,Косметический,На улицу и двор
7894,11750000.0,Внуковское поселение,2.0,,8.0,12.0,2018.0,1 совмещенный,Евроремонт,Во двор
7895,11700000.0,Бабушкинский,2.0,,3.0,9.0,1971.0,1 раздельный,Косметический,Во двор
7896,11650000.0,Новогиреево,2.0,,8.0,9.0,1968.0,1 совмещенный,Косметический,Во двор
7897,11700000.0,Марьино,2.0,51.0,8.0,17.0,1995.0,1 раздельный,Косметический,Во двор
7898,11700000.0,Бибирево,2.0,52.0,1.0,12.0,1975.0,1 раздельный,Евроремонт,Во двор
7899,11700000.0,Ново-Переделкино,2.0,,17.0,17.0,1988.0,1 совмещенный,Косметический,Во двор
7900,11800000.0,Савеловский,2.0,44.0,8.0,9.0,1966.0,1 раздельный,Без ремонта,На улицу
7901,11850000.0,Южное Бутово,2.0,53.0,6.0,12.0,1996.0,1 раздельный,Косметический,Во двор
7902,11800000.0,Ново-Переделкино,2.0,,5.0,14.0,1988.0,1 раздельный,Косметический,
7903,11800000.0,Коммунарка поселок,2.0,,6.0,12.0,2016.0,1 раздельный,Евроремонт,
7904,11800000.0,Бибирево,2.0,47.0,2.0,12.0,1976.0,1 раздельный,Евроремонт,Во двор
7905,11850000.0,Очаково-Матвеевское,2.0,40.0,13.0,14.0,1976.0,1 раздельный,Косметический,На улицу и двор
7906,11800000.0,Западное Дегунино,2.0,50.0,9.0,14.0,1992.0,1 раздельный,Косметический,На улицу
7907,11700000.0,Подсобного хозяйства Воскресенское поселок,2.0,,6.0,14.0,2012.0,1 раздельный,Евроремонт,На улицу и двор
7908,11700000.0,Внуково,2.0,54.0,1.0,17.0,1987.0,1 раздельный,Косметический,Во двор
7909,11700000.0,Покровское-Стрешнево,2.0,,2.0,4.0,1961.0,1 совмещенный,Косметический,Во двор
7910,11700000.0,Савеловский,2.0,39.0,9.0,12.0,1972.0,1 раздельный,Косметический,Во двор
7911,11700000.0,Кунцево,2.0,39.0,7.0,15.0,2021.0,1 раздельный,,Во двор
7912,11700000.0,Отрадное,2.0,,1.0,12.0,1979.0,1 совмещенный,Косметический,Во двор
7913,11700000.0,Теплый Стан,2.0,,2.0,9.0,1975.0,1 раздельный,Косметический,Во двор
7914,11700000.0,Коммунарка поселок,2.0,,17.0,17.0,2014.0,1 совмещенный,Без ремонта,На улицу и двор
7915,11700000.0,Люблино,2.0,56.0,11.0,14.0,2003.0,,Косметический,Во двор
7916,11700000.0,Дмитровский,2.0,,4.0,16.0,1982.0,1 раздельный,Без ремонта,Во двор
7917,11790000.0,Некрасовка,2.0,64.0,12.0,17.0,2014.0,1 раздельный,Без ремонта,На улицу и двор
7918,11850000.0,Некрасовка,2.0,,22.0,22.0,2009.0,1 раздельный,Косметический,На улицу и двор
7919,11650000.0,Преображенское,2.0,39.0,11.0,12.0,1967.0,1 совмещенный,Евроремонт,Во двор
7920,11800000.0,Ярославский,2.0,,1.0,12.0,1978.0,1 раздельный,Евроремонт,На улицу и двор
7921,11700000.0,Соколиная гора,2.0,,4.0,5.0,1959.0,1 совмещенный,Косметический,Во двор
